artist,title,date,genre,lyrics
Flo Rida,Wild Ones (Feat. Sia),2012.06.22,랩/힙합,"Hey I heard you were a wild oneOoohIf I took you homeIt'd be a home runShow me how you doI wanna shut down the clubWith youHey I heard you like the wild oneswild ones wild onesOoohI like crazy foolish stupidParty going wild fist pumping musicI might lose itBlast to the roof that how we do'z it do'z it do'z itI don't care the night she don't care we likeAlmost dared the right vibeReady to get live ain't no surpriseTake me so high jumping nose diveSurfing the crowdOoohSaid I gotta be the manI'm the head of my band mic check one twoShut them down in the club while the playboydoes it and y'all get lose loseAfter bottle we all get bent and again tomorrowGotta break loose cause that's the mottoClub shuts down a hundred super modelsHey I heard you were a wild oneOoohIf I took you homeIt'd be a home runShow me how you doI wanna shut down the clubWith youHey I heard you like the wild oneswild ones wild onesOoohParty rocker footshow stopperMore ChambordNumber one club popperGot a hangover like too much vodkaCan't see me with ten binocularsSo coolNo doubt by the end of the nightGot the clothes coming offTil I make that moveSomehow someway gotta raise the roof roofAll black shades when the sun come throughUhOh it's on like everything goesRound up baby tilt the freaky showWhat happens to that body it's a private showStays right here private showI like 'em untamed don't tell me how painTolerance bottoms up with the champagneMy life call my homie then we hit SpainDo you busy with the bail we get insaneHey I heard you were a wild oneOoohIf I took you homeIt'd be a home runShow me how you doI wanna shut down the clubWith youHey I heard you like the wild oneswild ones wild onesOoohI am a wild oneBreak me inSaddle me up and let's beginI am a wild oneTame me nowRunning with wolvesAnd I'm on the prowlShow you another side of meA side you would never thought you would seeTear up that bodyDominate you 'til you've had enoughI hear you likeThe wild stuffHey I heard you were a wild oneOoohIf I took you homeIt'd be a home runShow me how you'll doI wanna shut down the clubWith youHey I heard you like the wild oneswild ones wild onesOoohI am a wild oneBreak me inSaddle me up and let's beginI am a wild oneTame me nowRunning with wolvesAnd I'm on the prowl
"
G-Eazy,West Coast (feat. ALLBLACK & YG),2019.03.29,랩/힙합,Six million ways to mob choose one Some some something about the West Coast It's somethin’ in the water Something about the West Coast It makes me wanna ride You can't imagine the way that this cash feelin' Don’t know what's harder the first or the last million My last album took care of my grandchildren Ayy You tried to win cracked you head on the glass ceiling Ow What it is Sick wit' it it is The way this money look I'll be signed to Sony for years Micro-dosing 'shrooms and I might just go pop a thizz They see that black 'Rari they know that it's one of his Vroom Ooh realest in the room Room Could fill a pool with all the alcohol that I consume Ooh I'm coming this summer yeah it’s safe to assume What I’m finna clean up using Golden State's broom West Coast real town business Ayy Puma check just got cleared merry Christmas More sales you catchin’ more L's I drove here in a Scraper playin' this on four 12's Something about the West Coast It makes me wanna ride Shake it Westside Throw ya hands up let’s ride To the city of the scene Put it on the one get ya body on the dance floor It's all love yeah and it's never bad look It makes me wanna ride Shake it Westside Throw ya hands up let's ride To the city of the scene Put it on the one get ya body on the dance floor Blueface baby Yeah Yeah a'ight It's the face of the West Coast Scoop Been mackin' I got more bitches than PetCo Been mackin' VVSs breakin' and bustin' like the Metro Bussin' West Side Yankees Scoop Midtown business Town Business Yeah a'ight schoolyard to the children To the children Used to be broke Cash Money got me healin' West You can't show me how to make a mill' 'til you make a mill' Bop Welcome to the West Coast this the best coast West Coast You can find the best hoes and the best dro Doin' the dash in the Aston up and down Pico Ooh Freak ho my pants sag until the meat show Ooh Yeah a'ight welcome to the meat show To the meat show Two dicks big pisser and a Glicko Uh Blueface baby big pisser and the Glicko Yeah aight I like my money in blue faces baby I like fuckin' all my bitches call me fucker We can't fuck if you can't take the rug burn Shake it Westside Blueface baby Throw ya hands up let's ride To the city of the scene Put it on the one get ya body on the dance floor Something about the West Coast It makes me wanna ride Shake it Westside Throw ya hands up let's ride To the city of the scene Put it on the one get ya body on the dance floor ALLBLACKIs it Lake Merritt on Sundayor a game at the OracleIs it them Too $hort typeGary Payton playersfrom the Big OIs it that timeless tycoon stylelike Shakur and Mac DreThat's what they askin'when they hear ALLBLACKin they stereoCorner store white tee'sand a fifth ofthat dog water to goSlappin' Saturday Lovegoin' dumb up out the windowI got Dirty Harry no L'sI ain't stopping for Five O No LChase some shit through OaklandSan Jose Vallejo and FriscoBook your flightto this motherfuckerand come feel the loveGangbangin' sideshow swingin'home of the Bloodsand Cuz ALLBLACKI be with rich white boysyou could've sworn was bumsThat's meSpread the gangfeed your peopleand come fuck with a thugCan't nan nigga take the creditfor the plays I runLendin' my wickedface tatted like Jacob NugsAin't hella tallbut I still bop on shit like SpudThat Black Pantherslash Doberman Pinsch'from the DubsBLACKSomething about the West CoastIt makes me wanna rideShake it WestsideThrow ya hands up let's rideTo the city of the scenePut it on the oneget ya body on the dance floorSomething about the West CoastShake it WestsideThrow ya hands up let's rideTo the city of the scenePut it on the oneget ya body on the dance floorWest west westwest west west WestThe bitty on my backgot a hunnid rackson my chest YesYou is now rockin'with the boolest niggainstant flex The boolestMy socks like a choloand my shoes gotNike checks Nike checksZ z z z pull the Sup' upto the 'jectsZ z z z as I chug up this HenZ z z z gotta keepthis shit west Bounce bitchThey likeDamn how YGand Blueface connect'Cause Bompton ain't playin'with youInglewood ain't playin'with you BangLong Beach ain't playin'with you NahThem game ties stayin' with youThey stayin'This game don't stop niggayou can't blow no damn whistleUh uhThis shit foreverso I'll forever walk aroundwith my pistol 4 HunnidI'm the type to pull upon your bitchon her lunch break On your bitchI'm the typeshe see I wanna fuckI got a fuck face On your bitchI'm somewhere big boolin'on a Sunday With your bitchThen it's white socksand hard bottomsand brazy girls on MondayY'all niggas knowwhat it is 4 HunnidWestside shit niggaWestside nigga WestsidePac voiceG Eazy what's happeningfrom the Bay to LA nigga yeah
Lil Mosey,Try Me,2021.03.16,랩/힙합,Y'all rocking with DJ Schemelil' bitchUh uh uhNuri the GOATUh uhWalkin' through the thunderfeel like I'm goin' insane InsaneThe only thing that's helpin' isthese racks in the safeIs these racksIf you comin' with megive me a reason for you to stayFor you to stayI stopped poppin' pills andswitched to champagneChampagneI just booked a jetI'm tryna fly and go away AwayLanded in Miamininety down the freeway FreewayI just lost my niggathink about it every dayEvery dayLife is moving fastbut I know I'm okay OkayI'm never lackingdo what I'm 'posed to'Posed toI hate these niggaswatch who you get close toWho you get close toYou don't know my pastyou don't know what I been throughWhat I been throughI been doin' scams and stealin'what I'm used toWhat I'mGrew up too fast Too fastWatchin' niggas get blown backBlown backI just think you should know thatKnow thatAddiction came from my dadSo don't ask why I lovepoppin' pills PillsI came from a placewhere this shit get realGet realI was havin' troubles trynafind my next mealNext mealI felt so goodwhen I signed my dealYeah I signed thatI brought all my niggaseveryone out the fieldThe fieldI hopped in the stu'with the fire on meBoomI was finna show youwhat you was tryna seeTryna seePicked me up when I was down'cause you down with meDown with meHe said he was my niggabut he lied to meSo sad so sad So sadI hope that you know thatknow thatKnow thatWe all rich we glowin'glowin' Glowin'Lil Mosey snowin'snowin' Snowin'Celebrate with MoetMoet MoetLeave my pistol showin'showin' Showin'Let any nigga try metry me Try mePlease don't get it by me by meBy me uhWalkin' through the thunderfeel like I'm goin' insane InsaneThe only thing that's helpin' isthese racks in the safe In the safeIf you comin' with megive me a reason for you to stayYou to stayI stopped poppin' pills andswitched to champagneChampagneI just booked a jetI'm tryna fly and go away AwayLanded in Miamininety down the freeway FreewayI just lost my niggathink about it every dayEvery dayLife is moving fastbut I know I'm okay OkayUh uh uhHmm uh uh uh uh uh uh
A$AP Ferg,Jet Lag,2019.08.16,랩/힙합,Yeah uhYeah YeahSit leaned back Woo got a lot of chips Yeah Got jet lag 'cause I'm flyer than a bitch Right Celine bag Woo got a lot of drip Yeah Got jet lag 'cause I'm flyer than a bitch That's right Sit leaned back Right got a lot of chips Yeah Got jet lag 'cause I'm flyer than a bitch Woo Celine bag Yeah got a lot of drip That's right Got jet lag 'cause I'm flyer than a bitch Grr YeahUh yeahThat's rightHoo-hoo damnRollin' down the window got two Asians with me Yeah Livin' a fast life my uncle prayin' for me That's right People losin' in this game this shit is fatal to me Yeah See them turnin' on they brothers shit like Fredo to me Woo I just pulled up in the Benz and I'm feelin' like the goat Yeah I just woke up on your bitch I pick 'em eeny miny moe That's right I got chips with a lot of drip comin' by the load Yeah Prada trench too legit 30000 dollar coat Grr Tiffany give me diamonds that's a different kind of glow Yeah Got bitches like Frankie Lymon that's a different kind of ho Yeah Came a long way used to try to work at Club Monaco Hoo Hittin' the stage covered in sauce 100000 dollar show Hey Goin' guerilla Fergie Ferg that nigga count my checks Hey She on a nigga wanna get up in my chinchilla flaps Hey Her ass is realest she ain't got no silicone up in her breastsI was born to do this shit I see my dad up in the light Yeah Sit leaned back got a lot of chipsGot jet lag 'cause I'm flyer than a bitchCeline bag got a lot of dripGot jet lag 'cause I'm flyer than a bitchSit leaned back got a lot of chipsGot jet lag 'cause I'm flyer than a bitchCeline bag got a lot of dripGot jet lag 'cause I'm flyer than a Made a lot of millions off a plain Jane Yeah Pen and Billy on the track we do the same thing Right Rose gold pink diamonds in my ring-ring Yeah Got a bitch from Crenshaw and she gang bang That's right Blood walkin' and she listenin' to YG YG She scream I dare a motherfucka try stop me Try to stop She a ghetto bitch I fuck her in Versace In Versace And then I took her to Philippe for shrimp and broccoli Shrimp and broccoli Put in work a nigga lookin' awky Grr Diamonds blingin' called me Niggarace Yeah Niggas wanna but they cannot copy Cannot copy I paint the biggest picture but they try to crop me Cannot crop me I'm on a newer level high-key Yeah Still be walkin' through your block to get a chopped cheese C'mon Turn a Honda to a Masi' Yeah You my son my baby boy go get Taraji Hoo-hoo grr Sit leaned back got a lot of chipsGot jet lag 'cause I'm flyer than a bitchCeline bag got a lot of dripGot jet lag 'cause I'm flyer than a bitchSit leaned back got a lot of chipsGot jet lag 'cause I'm flyer than a bitchCeline bag got a lot of dripGot jet lag 'cause I'm flyer than a 
Latto,Big Energy,2022.03.25,랩/힙합,"I got that big, big energyGot that real big energyHey, daddyWhen you gon' stop playin'?[Chorus]Bad bitch, I could be your fantasy (Yeah)I can tell you got big dick energy (Uh-huh)It ain't too many niggas that can handle me (Yeah)But I might let you try it off the Hennessy (Uh)Make 'em sing to this pussy like a melody (Make 'em sang)And if your bitch ain't right, I got the remedy (Ooh)It ain't too many niggas that can handle me (Ayy)Bad bitch, I could be your fantasy (Ayy, ayy)[Verse 1]Tell me how you want it (Huh?)Three, two, one and I'm on it (On it)Feel good, don't it? (Don't it?)Hood bitch, fuck you in a bonnet (Yeah)I'ma bust it on a pole like Onyx (Ooh)I'm just bein' honest (Uh-huh)Pussy juicy, Minute Maid (Oh)But can't do it one minutе, man (Hell no)Not a side or a mainI'm the only bitch hе entertain (Yeah)Spendin' his mine in the bank (In the bank)I like what I see (Yeah)A boss like you need a boss like me (Uh-huh)Daddy from the street, so he move lowkeyTryna ride that mic' like karaoke (Oh)[Pre-Chorus]On the count of three, bad bitches, get money (Money)Broke niggas to the left, we don't want it (We don't want)I'm the one these bitches hate but they can't get past (Uh-huh)Pretty face, no waist and a big ol' ass, ha[Chorus]Bad bitch, I could be your fantasy (Yeah)I can tell you got big dick energy (Uh-huh)It ain't too many niggas that can handle me (Yeah)But I might let you try it off the Hennessy (Uh)Make 'em sing to this pussy like a melody (Make 'em sang)And if your bitch ain't right, I got the remedy (Ooh)It ain't too many niggas that can handle me (Ayy)Bad bitch, I could be your fantasy (Ayy, ayy)[Post-Chorus]Got that real big energyGot that big, big energy (Big dick energy)Got that real big energyGot that big, big energy (Big dick energy)[Verse 2]Yuh, tell me how you want it (Want it)Three, two, one, camera rollin' (Ooh)Do it slow motion (Uh-huh)Real bitch, them other hoes phonyAll that big talk, Latto put 'em on it (Latto)I'm just bein' honest (Yeah)Lingerie Dolce (Ha)Blindfold (Yeah), tie me to the bed (Yeah), while we roleplay (Yeah)Can't skip foreplay, kill the pussy cold case (Uh-huh)I'm a boss bitch but tonight we do it your way[Pre-Chorus]On the count of three, bad bitches, get money (Get money)Broke niggas to the left, we don't want it (Hell nah)If you ever see me broke, I'm probably rockin' a castPretty face, no waist with a big ol' bag, ha[Chorus]Bad bitch, I could be your fantasy (Yeah)I can tell you got big dick energy (Uh-huh)It ain't too many niggas that can handle me (Yeah)But I might let you try it off the Hennessy (Uh)Make 'em sing to this pussy like a melody (Make 'em sang)And if your bitch ain't right, I got the remedy (Ooh)It ain't too many niggas that can handle me (Ayy)Bad bitch, I could be your fantasy (Ayy, ayy)[Post-Chorus]Got that real big energyGot that big, big energy (Big dick energy)Got that real big energyGot that big, big energy (Big dick energy)
"
Nelly,The Fix (Feat. Jeremih),2015.08.14,랩/힙합,Mustard on the beat hoeShawty hit me on the late nightGot a man got me thinkin' shawty ain't rightShe say she ain't about the creep lifeBut all she wanna do is take pipeI ain't mad at nobodyI just wanna have your bodyNow I can give you the key girlOr you can meet me in the lobbyTalkin' boutOh I'll lay you down and go downGirl till I reach your oceanOh-ooo-oooSo come and get this dickWhen you need that fix yeah that medicineI know you like it like thisWhen you get that itch adrenalineHeart beatin' outta your chestHeart beatin' outta yo chestAnd when that pressure's buildin'I got what you needCome fuck with meAnd when you get that feelin'I got sexual healin'BabyBabyBust it open every time I get up insideSoakin' wet turn the bed to a slip n' slideSpread eagle niggaEatin' like its suppa timeshawty know who's is itIt's all mineI ain't mad at nobody no-oooI just wanna have your bodyAnd if you can take it deepThen let a nigga like meGet at that body girlOh I'll lay you down and go downGirl till I reach your oceanOh-ooo-oooSo come and get this dickWhen you need that fix yeah that medicineI know you like it like thisWhen you get that itch adrenalineHeart beatin' outta your chestHear beatin' outta yo chestAnd when that pressure's buildin'I got what you needCome fuck with meAnd when you get that feelin'I got sexual healin'Oh BabyBabySweat'em all outBabyI can't hold it much longerBabyI'm getting stronger and strongerWhen you need that fix yeah that medicineI know you like it like thisWhen you get that itch adrenalineHeart beatin' outta your chestHeart beatin' outta yo chestAnd when that pressure's buildin'I got what you needCome fuck with meAnd when you get that feelin'I got sexual healin'Oh BabyBaby 
Logic,Black SpiderMan (Feat. Damian Lemar Hudson),2017.05.05,랩/힙합,no lyrics
Stray Kids (스트레이 키즈),Double Knot (English Ver.),2020.01.24,랩/힙합,The thoughts inside my headI think it′s time to let them outThe question onwhich way to goit doesn′t matter nowI take a step whicheverdestination I′ll be runnin′Tighten up my lacescause I′m ready to be movin′Now I′m free Get upI know that I can go anywhereFree Get upYou′ll be surprisedI′ll be everywhereFree Get outAnywhere now I don′t even careDa dadada dada da daStraighten up yourposture and walkCause in the endyou′re unstoppableStand up wherever you goYou′ll make it with no troubleDramatic cutscene everyscene is the best of the bestcause my life is a 5 star movieI′m not done yet soTight tight go brace yourselfI tighten my double knotI tighten my double knotAnywhere I go now go goMy decision my life go goAnywhere I go now go goThe way I wanna goDa dadada dada da daBlank sided diceNo sided coinWherever it points nowit doesn′t matterCause I′m following the brokencompass in the voidEven if you think youcan′t get enoughOne out of hundred isjust good enoughMix every single colouronly just to watch itall end up blackNow I′m free Get upI know that I can go anywhereFree Get upYou′ll be surprisedI′ll be everywhereFree Get outAnywhere now I don′t even careDa dadada dada da daI′ve been looking at a destinationSuddenly my visionkept on getting widerLooked around to seethe many ways and possibilitiesI keep getting strongerGo Break all the break all the rulesDon′t care about anythingI do whatever I want soTight tight go brace yourselfI tighten my double knotI tighten my double knotAnywhere I go now go goMy decision my life go goAnywhere I go now go goThe way I wanna goDa dadada dada da daDon′t even matter ey eyWherever I go ey eyWhatever happensImma do what I wantDouble knotDouble knotGo Go Go GoGo Go Double knot
Nicki Minaj,Barbie Dreams,2018.08.10,랩/힙합,no lyrics
Ty Dolla $ign,Expensive (feat. Nicki Minaj),2020.08.28,랩/힙합,Uh Damn James Bluey why'd you do it to 'em Rrrrrr Dolla $ign Dolla $ign Dolla $ign She so expensive okay 'Kay She so expensive okay 'Kay Beamers or the Benz's okay Yeah Diamond tennis necklace okayLambo or the double R truck yeah yeah Ooh She gon' let a superstar fuck yeah yeah Ooh She so expensive okay Skrrt She so expensive okayShe got expensive taste Taste ayyShe got a slim thick waist Waist ayyGirl it's not your face it's your ass uh-huhI mean girl it's not your ass it's your face ayyYour bitch in the nosebleedsMy girl in the courtside floor seats Seats Your bitch a four to meI'ma take my girl to Dior this weekAll my bitches slim-thick and athletic 'Letic She ain't my girl if she ain't got a Patek Patek All my bitches gotta fit my aesthetic 'Sthetic She ain't your girl she right here in my section Let's go She so expensive okay 'Kay She so expensive okay 'Kay Beamers or the Benz's okay Yeah Diamond tennis necklace okayLambo or the double R truck yeah yeah Ooh She gon' let a superstar fuck yeah yeah Ooh She so expensive okay Skrrt She so expensive okayI got a shopping problem got expensive tasteBustdown Patek with the expensive faceGotta get me ice if he tryna skateGotta swipe the AmEx if we go on a date Uh If we go on a date gotta blow on my cakeBut don't hit me if it's tiny girl from XscapeThese studs for my ears Louis scarf for my hairsLatest bag from Chanel and I ain't tryin' to wait Uh Uh I'm tryna meet the plug no socketsUh pussy deep so is my pocketsUh Tom Ford heels with the locketUh a nigga get me he better lock it uhShe so expensive okay 'Kay She so expensive okay 'Kay Beamers or the Benz's okay Yeah Diamond tennis necklace okayLambo or the double R truck yeah yeah Ooh She gon' let a superstar fuck yeah yeah Ooh She so expensive okay Skrrt She so expensive okay
BROCKHAMPTON,BUZZCUT (Feat. Danny Brown),2021.03.25,랩/힙합,Who let the dope boys outThank God you let me crashon your couchWho's my God thatI'm prayin' to nowEarly two-thousthey tried to jump me inLatino protectionAny directionyou gave me your blessingTexan I text himI told him I got himTold him I made it to Hollywoodall it took was a summer to failA platinum record not gon'keep my Black ass out of jailTruth prevails this is realmiss my brotherI love my motherdrove all the way to Cali'just to check up on meMade her go home felt the virusWeb of life is my weavefalse dreams stripped by silenceDeals thеy had us signfor years it had me blindThink I had to hit rewindand think about why I do shinеGot my cousin doin' timehe was barely pushin' dimesMy whole family cursednow get the fuck out my rideide-ide-ide-ide-ide-ide-ide yeah INothin' nothin' nothin'nothin' nothin'Now get the fuck out my rideide-ide-ide-ide-ide-ide-ide yeah IGet the fuck outFuck with me give no shitguess my ignorance is blissNow get the fuck out my rideide-ide-ide-ide-ide-ide-ide yeah INothin' nothin' nothin'nothin' nothin'So get the fuck out my rideide-ide-ide-ide-ide-ide-ide yeah IIf a killer say shitthen get these motherfuckersGet the fuck outLive from the gutterblood like red paint spillsYou niggas ain't alphayou're incelsYou normiesain't a part of the scriptdoxx your house with cripsPop shit now you got contentconstantWhere to beginA veteran with medicine penLet 'em all intreat 'em like they next of my kinCheckin' your chin waybefore the record beginNiggas blow a lot of smoke likethey breath in the windAin't no pretendtell you how it is how it goWhat do you knowwhen you start escapin' your soulWhite on the streetwalking the beat like Abbey RoadTruth be toldno such thing as real nigga moldThrough the lights cameraaction glamour glitters and goldUnfold the scrollplant seeds to stampede the globeNo peace on the streetso I'm clutchin' my heatGotta watch for these savagesroamin' the street GoI I float GoI'ma see ya when I doNow get the fuck out my rideide-ide-ide-ide-ide-ide-ide yeah IYeah niggawe back up in this thangNow get the fuck out my rideide-ide-ide-ide-ide-ide-ideYeah new machineThey said I'd neverever see the sunlight Tell 'emI thought I'd neverever see the sunlightThey said I'd neverever see the sunlightSometimes it drives me crazyLook at the skyThis all I got for you NiggasThat sunlightit'll drive you crazyWhat is God to you niggasGoddamn motherfucker ugh
Polo G,"No Return (Feat. The Kid LAROI, Lil Durk)",2021.06.11,랩/힙합,Uh uh uh uh uh Uh uh uh uh uh uh uh uh Used to hit the block and serve Work the rock like Kyrie Irv' Link up with gang like what's the word Pull up skrrt switchin' lanes might jump the curb And yeah bitch I'm really him put that on five fuck what you heard Got three fifties that's one fifty ain't no limit I fuck with Herb Lil' kids turned grown men we come from cribs dysfunctional Gotta learn how to play your own hand don't never get too comfortable That's lil' shit he can think he hot 'til them real killers come and humble you All day tell 'em spin the block 'til your best friend layin' under you Know 'bout late nights and that hunger Know 'bout rainy days and that thunder I know lil' niggas on slime shit know young thugs and gunners We was in the field Glock kick back we gon' kick it off like punters I'm Too Turnt Gang got five in me I ain't never been no runner Bitch I can't ever go back to the way shit was I done really came from nothing now I got everything that I want I can't ever go back to the way shit was I done came too far put that on everything I love Roaches in the crib mama on drugs I can't let it go back to the way that it was I can't never go back I can't never I can't never I can't never I can't never oh I come from the muddiestpart of the trencheswhere niggas'll die any dayNiggas into it with youbut niggas gon' hang andclique and be in the wayYeah yeah yeahI'd rather be on the caseand stay in the mix thanbe in a nigga caseBe in a nigga caseI don't sneak dissthe shit I tell my dog the shitI'll say in your faceSay in a nigga facePerc' got fentanyl on 'emhe still want him a sixtyWant him a sixtyI took my brother Rugerand told him thinkand I gave him a fiftyThat backdoor cool where I'm fromthat shit new in the cityOh oh ohAnd y'all be hangin' andplayin' the game togetheryou know you snitchin'Oh oh ohI be tired of losing my niggasto niggas who new to killin'New to killin'Threw up my gutsI seen that footageyou don't know that feelingYeah yeah yeah yeah yeahI can't hang with my niggashomies doloI don't know them niggasYeah yeah yeah yeah yeahWhy they play with meon IG like we lameThey know we killers niggaI can't ever go backto the way shit wasI done really came from nothingnow I got everything that I wantI can't ever go backto the way shit wasI done came too farput that on everything I loveRoaches in the cribmama on drugsI can't let it go backto the way that it wasI can't never go backI can't never I can't neverI can't never I can't never oh
Big Sean,Jump Out The Window,2017.02.03,랩/힙합,"I think I'm ready to jump out the windowAnd turn that nigga that you with right back into your friendWe already wasted too much timeAnd your time is the only thing I wish was mineI think I'm ready to jump out the windowKnow ya momma didn't raise you to take no disrespectI feel I feel like real queens know how to keep the game in checkYou You cried on my phone the whole nightThat time you crossed the line yeah, yeah, yeahOh I was there I went to straighten his ass outAnd told me never mind yeahThe question isn't do he love ya the question isDo ya love yourselfYou give the best advice to your friends and not take it for yourselfRemember when you used to though and hit the Mario KartAnd you always picked the princessI realized you were princessWay back then we the best thing that never happened butI think I'm ready to jump out the windowAnd turn that nigga that you with right back into your friendWe already wasted too much timeAnd your time is the only thing I wish was mineI think I'm ready to jump out the windowI don't know if I'm ready for this mentallyBut look, you the best thing that happenedThis side of the CenturyScratch that, you the best thing to happened in the wholeUniverse Yeah yeah yeah yeahI just wish that we would have met first, yeahFunny we ran into each other while we leavingYou walked in with a permAnd now yo hair look like The Weeknd'sI know that you been needing clarityDon't mean to sit ya down and turn this into therapyBut you gave too much time to that boy charity hear meI think I'm ready to jump out the windowAnd turn that nigga that you with right back into your friendWe already wasted too much timeAnd your time is the only thing I wish was mineI think I'm ready to jump out the windowYou been up at night sleep deprivationWhats the hesitation whats ya reservationYou been tripping tripping with no destinationYou need separation you need recreationY'all been arguing every other day ya friends gotta step inAnd break it up like chill chill chillIt's no need to turn this into kill billNot trying to tell you what to do but stillI don't mean to sound like the jealous typeBut you oughta know oughta knowI think me and you should get together sometimeOn the low low lowSometimes I wonder if you even knowHow much you worth, I gotta knowSometimes I wonder if you even knowHow much you worth, I gotta knowI don't mean to sound like the jealous typeBut you oughta know oughta knowI think me and you should get together sometimesOn the low low lowSometimes I wonder if you even knowHow much you worth, I gotta knowSometimes I wonder if you even knowHow much you worth I gotta knowI gotta knowI gotta knowI gotta knowI think I'm ready to jump out the windowAnd turn that nigga that you with right back into your friendThis one's for you, you, you, you
"
Kanye West,Closed On Sunday,2019.10.25,랩/힙합,Closed on Sundayyou're my Chick fil AClosed on Sundayyou my Chick fil AHold the selfiesput the 'Gram awayGet your familyy'all hold hands and prayWhen you got daughtersalways keep 'em safeWatch out for vipersdon't let them indoctrinateClosed on Sundayyou my Chick fil AYou're my number onewith the lemonadeRaise our sonstrain them in the faithThrough temptationsmake sure they're wide awakeFollow Jesus listen and obeyNo more livin' for the culturewe nobody's slaveStand up for my homeEven if I take this walk aloneI bow down to the Kingupon the throneMy life is HisI'm no longer my ownI pray to Godthat He'll strengthen my handThey will think twice steppin'onto my landI draw the lineit's written in the sandTry me and you will seethat I ain't playin'Now back up off my familymove your handsI got my weaponsin the spirit's landI Jezebel don't evenstand a chanceJezebel don't evenstand a chanceChick fil A
Tyla Yaweh,Tommy Lee (Tommy Lee Remix) (feat. Post Malone),2020.07.10,랩/힙합,"Ah, shit, I'm just workin' in the studioAh, okayYou miss mePapaCallin' me PapaI want you, PapaAight You always talkin' about it, I'll call you right backChorus: Tyla YawehYou always talkin' about it, uhYou never makin' no profit, uhI treat my hoes like a optionIf she talkin' and get out of pocket, oohI'm livin' life like a rockstarPullin' up, stretch limousinesTo look at me, that cost a feeThem double Cs all on my feetYou always talkin' about it, yeahYou always talkin' about itYou say that you rappin' in private, yeahBut I see that you cap about itLivin' life like a rockstarPullin' up, stretch limousinesTo look at me, that cost a feeThem double Cs all on my feetVerse 1: Tyla YawehI changed my color to Nipsey blueYour racks, it get small, that shit pitifulIf you tryna get so physicalThat .45 will make you invisibleI'm livin' my life like a criminalI call this shit First 48I been quiet, there's no one to blame, yeahMy lawyer said we beat the caseI'm livin' my life, celebrationI'm thankin' the Lord, I got patienceI'm lovin' the way that she take itI bend it, I fold it, I flip itShe bringin' it back just to prove itI'm givin' her work just to move it, yeahI'm livin' the life that I'm choosin', yeahI'm gettin' these racks, gettin' stupid, yeahChorus: Tyla YawehYou always talkin' about it, uhYou never makin' no profit, uhI treat my hoes like a optionIf she talkin' and get out of pocket, oohI'm livin' life like a rockstarPullin' up, stretch limousinesTo look at me, that cost a feeThem double Cs all on my feetYou always talkin' about it, yeahYou always talkin' about itYou say that you rappin' in private, yeahBut I see that you cap about itLivin' life like a rockstarPullin' up, stretch limousinesTo look at me, that cost a feeThem double Cs all on my feetVerse 2: Post MalonePull up with the drum like I'm Tommy LeeYaweh got a stick, came to rock with me Pew, pew, pew, pew-pew-pewMilli' on wrist, ain't no rocks on me Ahh-ahh-ahh-ahhI'm pretty as fuck, wanna copy me Rocks on me, rocks on meI heard you was mad 'cause I'm poppin' as shit Wow, wowI'm poppin' the 'pagne and I'm poppin' that bitch Wow, ooh, damnI hop out a plane and went straight to the whip OohI know they can see, I think that's pretty cool if you askin' meBugatti, no body roll, curtains in back of the candy RollsI love when my lawyer calls, I hate when I run out of smokePull up to the party, oh, and we like to party, ohI finish the bottle, dawg, get this bitch jumpin', no MarioChorus: Tyla YawehYou always talkin' about it, uhYou never makin' no profit, uhI treat my hoes like a optionIf she talkin' and get out of pocket, oohI'm livin' life like a rockstarPullin' up, stretch limousinesTo look at me, that cost a feeThem double Cs all on my feetYou always talkin' about it, yeahYou always talkin' about itYou say that you rappin' in private, yeahBut I see that you cap about itLivin' life like a rockstarPullin' up, stretch limousinesTo look at me, that cost a feeThem double Cs all on my feetOutro: Post MalonePull up with the drum like I'm Tommy Lee Still shit soYaweh got a stick, came to rock with me Hard, cigarettesMilli' on wrist, ain't no rocks on me Cars, bedroomI'm pretty as fuck, wanna copy me Star, rocks on me, rocks one mePlease don't save my life, ohPull up with the drum like I'm Tommy Lee Pew, pew, pew, pew-pew-pewYaweh got a stick, came to rock with me Pew, pew, pew, pew-pew-pewPull up with the drum like I'm Tommy Lee Pew, pew, pew, pew-pew-pew
"
